dataset,model,seed,test_error,low_conflict_error,high_conflict_error,high_res_error,low_res_error,mean_conflict,mean_stability,mean_res,sef_triage_error_10,confidence_triage_error_10,sef_triage_error_20,confidence_triage_error_20,sef_triage_error_30,confidence_triage_error_30
Iris,Random forest,14.0,0.02857142857142857,0.0,0.1111111111111111,0.0,0.1111111111111111,0.29376015694347457,0.9884355062185822,0.6980982357323292,0.0,0.0,0.0,0.0,0.0,0.0
Iris,Gradient boosting,14.0,0.02857142857142857,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3324342685693548,0.9694504946384258,0.6560958165547446,0.0,0.0,0.0,0.0,0.0,0.0
Iris,Random forest,15.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.3652007185285997,0.9800812441020966,0.6243241655029265,0.125,0.03125,0.14285714285714285,0.0,0.16,0.0
Iris,Gradient boosting,15.0,0.08571428571428572,0.0,0.3,0.0,0.3,0.19805227176312354,0.9815970944374641,0.7908960587470629,0.0625,0.03125,0.0,0.0,0.0,0.0
Iris,Random forest,16.0,0.02857142857142857,0.0,0.1111111111111111,0.0,0.1111111111111111,0.2524167421357015,0.9845060025349637,0.7360188016998032,0.0,0.0,0.0,0.0,0.0,0.0
Iris,Gradient boosting,16.0,0.02857142857142857,0.0,0.08333333333333333,0.0,0.07692307692307693,0.13768664015298507,0.9861518851987835,0.8496895668116816,0.03125,0.03125,0.0,0.0,0.0,0.0
Iris,Random forest,17.0,0.05714285714285714,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2700089970366662,0.9861760982126073,0.7198141472276616,0.0625,0.0625,0.0,0.0,0.0,0.0
Iris,Gradient boosting,17.0,0.08571428571428572,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.32995006765197515,0.9997493014065034,0.6698629990853834,0.0625,0.03125,0.03571428571428571,0.03571428571428571,0.04,0.0
Iris,Random forest,18.0,0.05714285714285714,0.0,0.2222222222222222,0.0,0.2222222222222222,0.2094582213157308,0.9865082229252443,0.7786891340603473,0.0625,0.03125,0.03571428571428571,0.0,0.0,0.0
Iris,Gradient boosting,18.0,0.05714285714285714,0.0,0.125,0.0,0.125,0.21890887497415565,0.9826957275593372,0.7666361704501897,0.03125,0.03125,0.0,0.0,0.0,0.0
Iris,Random forest,19.0,0.05714285714285714,0.0,0.2222222222222222,0.0,0.2222222222222222,0.31285971950333036,0.9815250761111697,0.6802334692202905,0.03125,0.03125,0.0,0.0,0.0,0.0
Iris,Gradient boosting,19.0,0.05714285714285714,0.0,0.07692307692307693,0.0,0.07692307692307693,0.36511181076651616,0.9742918106233313,0.6218647594008028,0.0625,0.03125,0.03571428571428571,0.03571428571428571,0.04,0.04
Wine,Random forest,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.45419493621038237,0.9966865470280168,0.543181090233333,0.02631578947368421,0.0,0.029411764705882353,0.0,0.03333333333333333,0.0
Wine,Gradient boosting,0.0,0.07142857142857142,0.0,0.2727272727272727,0.0,0.2727272727272727,0.33611859529355925,0.9997111234907188,0.6638202351465374,0.05263157894736842,0.0,0.029411764705882353,0.0,0.0,0.0
Wine,Random forest,1.0,0.047619047619047616,0.0,0.18181818181818182,0.0,0.18181818181818182,0.3335383167022983,0.9843018485734532,0.6542767001881972,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,1.0,0.023809523809523808,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2808864795007576,0.9952984551488286,0.7153864760818336,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
Wine,Random forest,2.0,0.023809523809523808,0.0,0.09090909090909091,0.0,0.09090909090909091,0.3762683146460263,0.9882645981887743,0.6150147616262333,0.0,0.0,0.0,0.0,0.0,0.0
Wine,Gradient boosting,2.0,0.07142857142857142,0.0,0.2727272727272727,0.0,0.2727272727272727,0.21750149665786603,0.9999351772645123,0.7824432647023177,0.0,0.0,0.0,0.0,0.0,0.0
