dataset,domain,seed,n,p_raw,categorical_share,minority_share,test_error,brier,high_confidence_n,high_confidence_errors,base_conditional_auc,augmented_conditional_auc,delta_conditional_auc,conflict_error_auc,entropy_error_auc,low_confidence_error_auc,mass_error_auc,monotone_statistic,monotone_p_value,conflict_error_gap,diagnostic_eligible,diagnostic_pass,attribution_seconds,sef_seconds,rows_per_second
German credit,Finance,3,1000,20,0.65,0.30000000000000004,0.3,0.19215227135353818,175,31,0.6771953405017922,0.7163978494623656,0.03920250896057342,0.5134408602150538,0.6706989247311829,0.6675627240143369,0.5461469534050178,0.006786922135413262,0.416,0.0,1.0,0.0,0.05124549998436123,0.00022490002447739244,6800.02486749466
German credit,Finance,4,1000,20,0.65,0.30000000000000004,0.23714285714285716,0.16628455105950574,175,21,0.6131725417439703,0.6246134817563389,0.011440940012368617,0.5374149659863945,0.6286332714904143,0.6215213358070502,0.5315398886827458,0.01368695963975007,0.296,0.0,1.0,0.0,0.03421030001481995,8.749996777623892e-05,10204.736169013793
German credit,Finance,5,1000,20,0.65,0.30000000000000004,0.28285714285714286,0.18942042671549356,175,33,0.7170294494238156,0.7471190781049936,0.030089628681177927,0.5787451984635084,0.6796841655996585,0.7291933418693982,0.5017072129748186,0.04173957113279154,0.106,0.11363636363636362,1.0,0.0,0.04056489997310564,9.050004882737994e-05,8608.94247286166
German credit,Finance,6,1000,20,0.65,0.30000000000000004,0.29428571428571426,0.19018862630976222,175,33,0.6803243704652155,0.689073836961161,0.008749466495945435,0.5388390951771234,0.6244131455399061,0.6946222791293213,0.48292787025181394,0.020586997144086884,0.208,0.09090909090909093,1.0,0.0,0.05675129999872297,0.00036919995909556746,6127.397348735788
German credit,Finance,7,1000,20,0.65,0.30000000000000004,0.26571428571428574,0.19005609916497346,175,28,0.6654518950437318,0.6596209912536444,-0.005830903790087438,0.5643828960155491,0.7086977648202137,0.6350826044703596,0.5211370262390671,0.029975572764741887,0.158,0.0681818181818182,1.0,0.0,0.04718029999639839,0.00017519999528303742,7390.9049648189075
German credit,Finance,8,1000,20,0.65,0.30000000000000004,0.29428571428571426,0.19949065334275684,175,37,0.6780258519388954,0.6972189580885233,0.01919310614962788,0.500587544065805,0.6658832745789267,0.6447316882099491,0.5225225225225225,0.00033934610677066346,0.504,0.0,1.0,0.0,0.04943970002932474,0.0001509999856352806,7057.774943576427
German credit,Finance,9,1000,20,0.65,0.30000000000000004,0.27714285714285714,0.18844896965851263,175,29,0.67312234293812,0.6646197449220596,-0.008502598016060459,0.59140292867265,0.5805384978743505,0.6832782239017476,0.5063769485120453,0.04377564777341552,0.054,0.1590909090909091,1.0,0.0,0.05664730002172291,0.000325299974065274,6143.303974645259
German credit,Finance,10,1000,20,0.65,0.30000000000000004,0.29428571428571426,0.20188748233617557,175,38,0.7099500576258163,0.7034191317710334,-0.006530925854782876,0.5814444871302344,0.6319631194775258,0.7222435651171725,0.5535920092201305,0.047960916423587026,0.072,0.09090909090909093,1.0,0.0,0.05376469995826483,0.0001613000058569014,6490.3757043515825
German credit,Finance,11,1000,20,0.65,0.30000000000000004,0.3314285714285714,0.21671077456106705,175,38,0.6060315021129465,0.5920092201306184,-0.014022281982328133,0.5055704955820208,0.5747214752208989,0.6304264310411064,0.5666538609296965,0.003280345698783077,0.48,-0.022727272727272735,1.0,0.0,0.035648100019898266,9.240000508725643e-05,9792.812069090289
German credit,Finance,12,1000,20,0.65,0.30000000000000004,0.30857142857142855,0.20477663732413018,175,35,0.6373469387755102,0.6755102040816326,0.03816326530612246,0.47,0.6675510204081632,0.6222448979591837,0.4818367346938775,-0.016627959231762482,0.708,0.0,1.0,0.0,0.03055079997284338,9.850005153566599e-05,11419.510387565238
German credit,Finance,13,1000,20,0.65,0.30000000000000004,0.26285714285714284,0.18142387819933267,175,25,0.43813333333333326,0.5941333333333334,0.15600000000000014,0.424,0.4752,0.5551999999999999,0.5816,-0.03223788014321298,0.876,-0.09090909090909093,1.0,0.0,0.02820699999574572,0.00042230001417919993,12225.237776636715
German credit,Finance,14,1000,20,0.65,0.30000000000000004,0.2857142857142857,0.19100721040356777,175,28,0.4484936831875607,0.5138483965014577,0.06535471331389703,0.44703595724003886,0.5362001943634596,0.5529640427599611,0.5736151603498543,-0.024659150425334835,0.802,-0.04545454545454544,1.0,0.0,0.029995799995958805,0.0002300000051036477,11579.511542711767
Bank marketing,Finance,0,45211,16,0.5625,0.11698480458295547,0.15647118301314458,0.12090686476519251,7912,621,0.8438109234445396,0.9228853166644249,0.0790743932198853,0.20901024822476522,0.16369507682800427,0.4771024475722942,0.8648930994049753,-0.0729078786037239,1.0,-0.17846309403437816,1.0,0.0,0.20446149999042973,0.0190506000071764,70797.06199427001
Bank marketing,Finance,1,45211,16,0.5625,0.11698480458295547,0.157103134479272,0.12053526643764585,7912,600,0.871738238512035,0.9285191010211524,0.0567808625091174,0.19856104121079504,0.13201267323121807,0.44634504923413565,0.8782009026258206,-0.07318210265951122,1.0,-0.1769464105156724,1.0,0.0,0.3509866999811493,0.0324038999970071,41273.83405044769
Bank marketing,Finance,2,45211,16,0.5625,0.11698480458295547,0.1557128412537917,0.11980622316044193,7912,588,0.859349050925668,0.9230402701768856,0.06369121925121757,0.20619447943022104,0.14588023904264052,0.45219031085946115,0.8757830002563559,-0.07001702969113045,1.0,-0.16430738119312435,1.0,0.0,0.18841389997396618,0.01679870003135875,77110.27490314626
