dataset,seed,alpha,nominal_accepted_fraction,accepted_fraction,flagged_fraction,all_error,accepted_error,flagged_error,threshold
Breast cancer,15.0,0.1,0.9,0.9473684210526315,0.05263157894736842,0.023391812865497075,0.006172839506172839,0.3333333333333333,0.7918239527616354
Breast cancer,16.0,0.1,0.9,0.9415204678362573,0.05847953216374269,0.029239766081871343,0.006211180124223602,0.4,0.8303413418806659
Breast cancer,17.0,0.1,0.9,0.935672514619883,0.06432748538011696,0.017543859649122806,0.00625,0.18181818181818182,0.7563478525598207
Breast cancer,18.0,0.1,0.9,0.8713450292397661,0.1286549707602339,0.023391812865497075,0.020134228187919462,0.045454545454545456,0.7495075883017658
Breast cancer,19.0,0.1,0.9,0.9649122807017544,0.03508771929824561,0.011695906432748537,0.012121212121212121,0.0,0.8624717073309051
Breast cancer,20.0,0.1,0.9,0.8070175438596491,0.19298245614035087,0.023391812865497075,0.007246376811594203,0.09090909090909091,0.7121980451907413
Breast cancer,21.0,0.1,0.9,0.9239766081871345,0.07602339181286549,0.011695906432748537,0.0,0.15384615384615385,0.8150270139028475
Breast cancer,22.0,0.1,0.9,0.847953216374269,0.15204678362573099,0.05847953216374269,0.027586206896551724,0.23076923076923078,0.7092733707603786
Breast cancer,23.0,0.1,0.9,0.9473684210526315,0.05263157894736842,0.017543859649122806,0.012345679012345678,0.1111111111111111,0.8430323301143864
Breast cancer,24.0,0.1,0.9,0.847953216374269,0.15204678362573099,0.017543859649122806,0.006896551724137931,0.07692307692307693,0.7367416764089827
Breast cancer,25.0,0.1,0.9,0.9005847953216374,0.09941520467836257,0.04093567251461988,0.012987012987012988,0.29411764705882354,0.7850957849811011
Breast cancer,26.0,0.1,0.9,0.9181286549707602,0.08187134502923976,0.04093567251461988,0.01910828025477707,0.2857142857142857,0.828420408839236
Breast cancer,27.0,0.1,0.9,0.9415204678362573,0.05847953216374269,0.04093567251461988,0.018633540372670808,0.4,0.836308134998665
Breast cancer,28.0,0.1,0.9,0.9415204678362573,0.05847953216374269,0.023391812865497075,0.006211180124223602,0.3,0.8213269830099782
Breast cancer,29.0,0.1,0.9,0.8771929824561403,0.12280701754385964,0.023391812865497075,0.0,0.19047619047619047,0.8326029021573826
Breast cancer,30.0,0.1,0.9,0.9064327485380117,0.0935672514619883,0.017543859649122806,0.012903225806451613,0.0625,0.7432588496154492
Breast cancer,31.0,0.1,0.9,0.9064327485380117,0.0935672514619883,0.03508771929824561,0.012903225806451613,0.25,0.8355910556845492
Breast cancer,32.0,0.1,0.9,0.8362573099415205,0.16374269005847952,0.04093567251461988,0.006993006993006993,0.21428571428571427,0.7136348918127029
Breast cancer,33.0,0.1,0.9,0.9064327485380117,0.0935672514619883,0.04093567251461988,0.012903225806451613,0.3125,0.8537582277922968
Breast cancer,34.0,0.1,0.9,0.8830409356725146,0.11695906432748537,0.04093567251461988,0.006622516556291391,0.3,0.7620864988711503
Breast cancer,35.0,0.1,0.9,0.9298245614035088,0.07017543859649122,0.005847953216374269,0.0,0.08333333333333333,0.8594772790102855
Breast cancer,36.0,0.1,0.9,0.9239766081871345,0.07602339181286549,0.03508771929824561,0.006329113924050633,0.38461538461538464,0.7981519901775103
Breast cancer,37.0,0.1,0.9,0.9239766081871345,0.07602339181286549,0.029239766081871343,0.006329113924050633,0.3076923076923077,0.8455052129232045
Breast cancer,38.0,0.1,0.9,0.9590643274853801,0.04093567251461988,0.023391812865497075,0.012195121951219513,0.2857142857142857,0.8847718091020761
Breast cancer,39.0,0.1,0.9,0.9532163742690059,0.04678362573099415,0.017543859649122806,0.012269938650306749,0.125,0.8585126059764455
Breast cancer,40.0,0.1,0.9,0.9415204678362573,0.05847953216374269,0.017543859649122806,0.006211180124223602,0.2,0.8721270035660286
Breast cancer,41.0,0.1,0.9,0.9415204678362573,0.05847953216374269,0.023391812865497075,0.012422360248447204,0.2,0.8470717587749509
Breast cancer,42.0,0.1,0.9,0.9122807017543859,0.08771929824561403,0.03508771929824561,0.01282051282051282,0.26666666666666666,0.7573879837989705
Breast cancer,43.0,0.1,0.9,0.9122807017543859,0.08771929824561403,0.04678362573099415,0.019230769230769232,0.3333333333333333,0.8281373492952935
Breast cancer,44.0,0.1,0.9,0.9181286549707602,0.08187134502923976,0.03508771929824561,0.0,0.42857142857142855,0.8621083128447451
Breast cancer,45.0,0.1,0.9,0.9239766081871345,0.07602339181286549,0.023391812865497075,0.012658227848101266,0.15384615384615385,0.7683352936797546
Breast cancer,46.0,0.1,0.9,0.9005847953216374,0.09941520467836257,0.023391812865497075,0.0,0.23529411764705882,0.7552594339803671
Breast cancer,47.0,0.1,0.9,0.9239766081871345,0.07602339181286549,0.03508771929824561,0.012658227848101266,0.3076923076923077,0.8230858507652601
Breast cancer,48.0,0.1,0.9,0.9239766081871345,0.07602339181286549,0.029239766081871343,0.012658227848101266,0.23076923076923078,0.795319292195723
Breast cancer,49.0,0.1,0.9,0.9005847953216374,0.09941520467836257,0.03508771929824561,0.01948051948051948,0.17647058823529413,0.7951459108957699
Digits,0.0,0.1,0.9,0.8545454545454545,0.14545454545454545,0.00909090909090909,0.0,0.0625,0.6447254502251701
Digits,1.0,0.1,0.9,0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,0.7399266140850386
Digits,2.0,0.1,0.9,0.8818181818181818,0.11818181818181818,0.01818181818181818,0.0,0.15384615384615385,0.7373772930688942
Digits,3.0,0.1,0.9,0.9181818181818182,0.08181818181818182,0.01818181818181818,0.0,0.2222222222222222,0.7046933722922462
Digits,4.0,0.1,0.9,0.9454545454545454,0.05454545454545454,0.0,0.0,0.0,0.741072205394247
Digits,5.0,0.1,0.9,0.9727272727272728,0.02727272727272727,0.00909090909090909,0.0,0.3333333333333333,0.78916919858221
Digits,6.0,0.1,0.9,0.9545454545454546,0.045454545454545456,0.00909090909090909,0.0,0.2,0.7740531273684604
Digits,7.0,0.1,0.9,0.9363636363636364,0.06363636363636363,0.00909090909090909,0.0,0.14285714285714285,0.725086730475526
