dataset,openml_name,openml_version,seed,n,p_raw,test_error,auc,high_confidence_error,high_confidence_low_conflict_error,high_confidence_high_conflict_error,gap,mean_conflict
Blood transfusion,blood-transfusion-service-center,1,18,748,4,0.3549618320610687,0.7416532258064517,0.16030534351145037,0.06666666666666667,0.21212121212121213,0.14545454545454545,0.34642284606441315
Blood transfusion,blood-transfusion-service-center,1,19,748,4,0.3931297709923664,0.682741935483871,0.21374045801526717,0.15151515151515152,0.30303030303030304,0.15151515151515152,0.4160821658822475
Blood transfusion,blood-transfusion-service-center,1,20,748,4,0.3320610687022901,0.752258064516129,0.17424242424242425,0.08108108108108109,0.15151515151515152,0.07043407043407043,0.4675311774963401
Blood transfusion,blood-transfusion-service-center,1,21,748,4,0.2900763358778626,0.7926612903225807,0.15267175572519084,0.15,0.21212121212121213,0.06212121212121213,0.42732008138828803
Blood transfusion,blood-transfusion-service-center,1,22,748,4,0.3473282442748092,0.7529838709677419,0.1984732824427481,0.20930232558139536,0.21212121212121213,0.0028188865398167673,0.4055624191920629
Blood transfusion,blood-transfusion-service-center,1,23,748,4,0.31297709923664124,0.7932258064516129,0.17557251908396945,0.16666666666666666,0.24242424242424243,0.07575757575757577,0.41157986983477896
Blood transfusion,blood-transfusion-service-center,1,24,748,4,0.30916030534351147,0.7859274193548387,0.19696969696969696,0.15217391304347827,0.3333333333333333,0.18115942028985504,0.420287854205984
Blood transfusion,blood-transfusion-service-center,1,25,748,4,0.37786259541984735,0.7793548387096775,0.17557251908396945,0.11904761904761904,0.21212121212121213,0.09307359307359309,0.3851552664787114
Blood transfusion,blood-transfusion-service-center,1,26,748,4,0.3511450381679389,0.7244758064516129,0.22137404580152673,0.225,0.2727272727272727,0.0477272727272727,0.4688264037752505
Blood transfusion,blood-transfusion-service-center,1,27,748,4,0.3473282442748092,0.7479032258064516,0.23308270676691728,0.15,0.4117647058823529,0.2617647058823529,0.4597519768767324
Blood transfusion,blood-transfusion-service-center,1,28,748,4,0.3015267175572519,0.740524193548387,0.17557251908396945,0.12121212121212122,0.30303030303030304,0.18181818181818182,0.4717268820885979
Blood transfusion,blood-transfusion-service-center,1,29,748,4,0.30916030534351147,0.8051209677419354,0.16793893129770993,0.09523809523809523,0.24242424242424243,0.1471861471861472,0.4478539550743091
Blood transfusion,blood-transfusion-service-center,1,30,748,4,0.35877862595419846,0.7532258064516129,0.183206106870229,0.17073170731707318,0.24242424242424243,0.07169253510716925,0.38828648973810764
Blood transfusion,blood-transfusion-service-center,1,31,748,4,0.3549618320610687,0.7708064516129032,0.1984732824427481,0.13513513513513514,0.30303030303030304,0.1678951678951679,0.40022542445016845
Blood transfusion,blood-transfusion-service-center,1,32,748,4,0.31679389312977096,0.7779435483870968,0.17557251908396945,0.1891891891891892,0.15151515151515152,-0.03767403767403768,0.45941636653229834
Blood transfusion,blood-transfusion-service-center,1,33,748,4,0.37786259541984735,0.7085887096774194,0.2706766917293233,0.26666666666666666,0.29411764705882354,0.027450980392156876,0.48476130874573226
Blood transfusion,blood-transfusion-service-center,1,34,748,4,0.30916030534351147,0.7654032258064517,0.15267175572519084,0.15555555555555556,0.18181818181818182,0.026262626262626265,0.4360061222636069
Blood transfusion,blood-transfusion-service-center,1,35,748,4,0.3931297709923664,0.7241129032258065,0.22900763358778625,0.18421052631578946,0.2,0.015789473684210548,0.40688019510926327
Blood transfusion,blood-transfusion-service-center,1,36,748,4,0.3473282442748092,0.7102419354838709,0.3076923076923077,0.2222222222222222,0.41025641025641024,0.18803418803418803,0.4990327872226245
Blood transfusion,blood-transfusion-service-center,1,37,748,4,0.37404580152671757,0.7383064516129032,0.1984732824427481,0.15555555555555556,0.18181818181818182,0.026262626262626265,0.34467074966684424
Blood transfusion,blood-transfusion-service-center,1,38,748,4,0.3320610687022901,0.8050403225806452,0.1450381679389313,0.21428571428571427,0.12121212121212122,-0.09307359307359306,0.3961176289673301
Blood transfusion,blood-transfusion-service-center,1,39,748,4,0.33969465648854963,0.7611693548387097,0.15671641791044777,0.075,0.2647058823529412,0.18970588235294117,0.4105314544389956
Blood transfusion,blood-transfusion-service-center,1,40,748,4,0.3015267175572519,0.7641935483870966,0.16030534351145037,0.12195121951219512,0.15151515151515152,0.0295639320029564,0.43481761016201337
Blood transfusion,blood-transfusion-service-center,1,41,748,4,0.40458015267175573,0.6925403225806451,0.2900763358778626,0.275,0.30303030303030304,0.028030303030303017,0.41891701298831
Blood transfusion,blood-transfusion-service-center,1,42,748,4,0.3435114503816794,0.7786693548387098,0.1984732824427481,0.20512820512820512,0.18181818181818182,-0.023310023310023298,0.449023283105741
Blood transfusion,blood-transfusion-service-center,1,43,748,4,0.29770992366412213,0.729516129032258,0.15267175572519084,0.10869565217391304,0.16666666666666666,0.05797101449275362,0.44538709096810625
Blood transfusion,blood-transfusion-service-center,1,44,748,4,0.35877862595419846,0.7183064516129032,0.22556390977443608,0.11764705882352941,0.22857142857142856,0.11092436974789915,0.4428034107451639
Blood transfusion,blood-transfusion-service-center,1,45,748,4,0.3320610687022901,0.7379435483870967,0.22137404580152673,0.2,0.24242424242424243,0.04242424242424242,0.4570613322318156
Blood transfusion,blood-transfusion-service-center,1,46,748,4,0.35877862595419846,0.7613306451612903,0.20610687022900764,0.24324324324324326,0.18181818181818182,-0.061425061425061434,0.4264441709820967
Blood transfusion,blood-transfusion-service-center,1,47,748,4,0.3473282442748092,0.7137096774193549,0.1984732824427481,0.13953488372093023,0.3939393939393939,0.25440451021846366,0.4649445251607712
Blood transfusion,blood-transfusion-service-center,1,48,748,4,0.3244274809160305,0.7798790322580644,0.1984732824427481,0.09302325581395349,0.30303030303030304,0.21000704721634955,0.42836282012246724
Blood transfusion,blood-transfusion-service-center,1,49,748,4,0.35877862595419846,0.7591532258064516,0.2196969696969697,0.225,0.24242424242424243,0.017424242424242425,0.45111454445768906
