dataset,openml_name,openml_version,seed,method,top_quartile_error,error_auc,mean_score
Diabetes,diabetes,1,11,Low confidence,0.17647058823529413,0.684110970996217,0.13240889301754954
Diabetes,diabetes,1,11,SEF-entropy rank correlation,0.17188611362605896,,
Diabetes,diabetes,1,12,SEF conflict,0.14705882352941177,0.5431206380857428,0.2675570659681777
Diabetes,diabetes,1,12,Attribution entropy,0.14705882352941177,0.5458624127617149,0.7522793108118346
Diabetes,diabetes,1,12,Attribution Gini spread,0.14705882352941177,0.518444666001994,0.7261011146745188
Diabetes,diabetes,1,12,Low confidence,0.23529411764705882,0.6405782652043869,0.14282695058685563
Diabetes,diabetes,1,12,SEF-entropy rank correlation,0.189057395690068,,
Diabetes,diabetes,1,13,SEF conflict,0.17647058823529413,0.654936974789916,0.2919687513704552
Diabetes,diabetes,1,13,Attribution entropy,0.14705882352941177,0.49737394957983194,0.7487202273673308
Diabetes,diabetes,1,13,Attribution Gini spread,0.14705882352941177,0.4915966386554622,0.7212293726162207
Diabetes,diabetes,1,13,Low confidence,0.14705882352941177,0.47794117647058826,0.1145757996751034
Diabetes,diabetes,1,13,SEF-entropy rank correlation,0.11583804428020089,,
Diabetes,diabetes,1,14,SEF conflict,0.14705882352941177,0.6027154663518299,0.29744893089678215
Diabetes,diabetes,1,14,Attribution entropy,0.17647058823529413,0.58913813459268,0.7119828024807795
Diabetes,diabetes,1,14,Attribution Gini spread,0.17647058823529413,0.5737898465171193,0.6749058225976806
Diabetes,diabetes,1,14,Low confidence,0.20588235294117646,0.6204250295159386,0.14857353779950142
Diabetes,diabetes,1,14,SEF-entropy rank correlation,0.09693456362138171,,
Diabetes,diabetes,1,15,SEF conflict,0.11764705882352941,0.6115702479338843,0.282270868952263
Diabetes,diabetes,1,15,Attribution entropy,0.08823529411764706,0.4020070838252656,0.743586355492104
Diabetes,diabetes,1,15,Attribution Gini spread,0.08823529411764706,0.36658795749704837,0.7178573257148932
Diabetes,diabetes,1,15,Low confidence,0.17647058823529413,0.5950413223140496,0.13835599668684695
Diabetes,diabetes,1,15,SEF-entropy rank correlation,0.10489964991185477,,
Diabetes,diabetes,1,16,SEF conflict,0.20588235294117646,0.674264007597341,0.34821660373693
Diabetes,diabetes,1,16,Attribution entropy,0.17647058823529413,0.4985754985754986,0.7382424326245426
Diabetes,diabetes,1,16,Attribution Gini spread,0.17647058823529413,0.47768281101614435,0.696441456175115
Diabetes,diabetes,1,16,Low confidence,0.2647058823529412,0.5968660968660968,0.13900334831185912
Diabetes,diabetes,1,16,SEF-entropy rank correlation,0.01594966344746854,,
Diabetes,diabetes,1,17,SEF conflict,0.20588235294117646,0.644736842105263,0.2960945595544339
Diabetes,diabetes,1,17,Attribution entropy,0.14705882352941177,0.4355716878402904,0.705451235694104
Diabetes,diabetes,1,17,Attribution Gini spread,0.11764705882352941,0.4274047186932849,0.6771323328509461
